書籍タイトル,著者名,推薦者（所属）,推薦コメント,推薦時期・媒体,推薦理由・背景
Business Adventures,John Brooks,Bill Gates (Microsoft創業者),1991年にウォーレン・バフェットから勧められて以来、今でも最高のビジネス書だ。,2014年 Gates Blog,バフェットから紹介され、ゲイツが“最も愛読する経営書”として再三言及
Factfulness,Hans Rosling,Bill Gates (Microsoft創業者),これまで読んだ中で最も重要な本の一つだ。世界を正しく捉えるうえで貴重。,2018年 TIME インタビュー,大学卒業生への贈り物にも選定
Sapiens,Yuval Noah Harari,Bill Gates (Microsoft創業者),人類史を描いた刺激的な一冊で、読後は議論が尽きない。,2016年 Gates Blog,歴史を俯瞰する視点が新鮮で、多くの問いが生まれる
The Hitchhiker’s Guide to the Galaxy,Douglas Adams,Elon Musk (SpaceX・Tesla創業者),『正しい問いを立てること』の重要性に気づいた愛読書。,2023年 インタビュー,幼少期の実存的不安を救った本
Structures: Or Why Things Don’t Fall Down,J.E. Gordon,Elon Musk (SpaceX・Tesla創業者),構造設計の入門書として非常に優れている。,2014年 KCRWインタビュー,ロケット設計を独学する際に活用
The Remains of the Day,Kazuo Ishiguro,Jeff Bezos (Amazon創業者),読むと10時間別の人生を生きた気分になり、人生と後悔を学ぶ。,2009年 Inc インタビュー,毎年読み返す小説として愛好
Built to Last,Jim Collins,Jeff Bezos (Amazon創業者),私のお気に入りのビジネス書だ。,2020年 Inc 記事,創業期に影響を受け長期的視野を養う指針とした
The Intelligent Investor,Benjamin Graham,Warren Buffett (Berkshire Hathaway CEO),最も優れた投資本であり、私のバイブルだ。,継続的に言及,価値投資の原点
Security Analysis,Benjamin Graham & David Dodd,Warren Buffett (Berkshire Hathaway CEO),投資のためのロードマップを得た。,2014年 寄稿記事,定量分析による企業評価手法を学んだ
The Outsiders,William Thorndike,Warren Buffett (Berkshire Hathaway CEO),資本配分に長けたCEOを扱った極めて優れた書籍。,2012年 株主書簡,卓越したCEOに共通する資本戦略を学べる
Give and Take,Adam Grant,Rich Lesser (BCG元CEO),自分の考え方に大きな影響を与えた本だ。,2015年 BCG CEOレター,組織文化変革のヒントになった
The Five Dysfunctions of a Team,Patrick Lencioni,Bain & Company,新任リーダーに標準配布している一冊。,社内研修テキスト,チーム機能不全の克服法を学べる
Zero to One,Peter Thiel,Marc Andreessen (a16z共同創業者),すべての起業家が最初に読むべき本だ――絶対に。,2020年 Podcast,独創的イノベーション思考を学べる
Antifragile,Nassim Nicholas Taleb,Doug Leone (Sequoia Capital),漠然とした考えを見事に言語化してくれた。,2019年 Sequoia社内NL,不確実性から学習と成長を得る発想に共感
High Output Management,Andrew Grove,Sam Altman (元Y Combinator代表),創業者にとって特に必読の指南書。,2016年 YCブログ,ゼロから事業をスケールする際の課題を学べる
Principles,Ray Dalio,Goldman Sachs (Gunjan Samtani),因果関係に基づいて意思決定の原則を体系化。,2018年 GS Reading List,価値観に沿った意思決定の指針となる
